Session_ID,Scenario,Time(s),Packages,Timestamp,CPU_Cores,Memory_GB,Docker_Version,Python_Version
2025-08-25_12-20-36,Host Skip OS Packages (cli),1.513858746,10,2025-08-25 12:20:36,8,15.6,28.3.3,3.12.3
2025-08-25_12-20-39,Host Full System (cli),2.501209572,846,2025-08-25 12:20:39,8,15.6,28.3.3,3.12.3
2025-08-25_12-25-34,Host Skip OS Packages (programmatic),1.554827906,38,2025-08-25 12:25:34,8,15.6,28.3.3,3.12.3
2025-08-25_12-25-37,Host Full System (programmatic),2.389073078,874,2025-08-25 12:25:37,8,15.6,28.3.3,3.12.3
2025-08-25_12-48-18,Host Skip OS Packages (cli),2.124561187,38,2025-08-25 12:48:20,8,15.6,28.3.3,3.12.3
2025-08-25_12-50-01,Host Skip OS Packages (cli),1.472659174,38,2025-08-25 12:50:03,8,15.6,28.3.3,3.12.3
2025-08-25_12-51-22,Host Skip OS Packages (cli),1.594181413,38,2025-08-25 12:51:24,8,15.6,28.3.3,3.12.3
2025-08-25_12-54-55,Host Skip OS Packages (cli),1.627282770,38,2025-08-25 12:54:57,8,15.6,28.3.3,3.12.3
2025-08-25_12-55-28,Host Full System (cli),2.755584209,874,2025-08-25 12:55:31,8,15.6,28.3.3,3.12.3
2025-08-25_12-56-11,Host Skip OS Packages (cli),1.493532033,38,2025-08-25 12:56:14,8,15.6,28.3.3,3.12.3
2025-08-25_12-57-25,Host Skip OS Packages (cli),1.528497794,38,2025-08-25 12:57:27,8,15.6,28.3.3,3.12.3
2025-08-25_12-59-29,Host Skip OS Packages (cli),1.724595109,38,2025-08-25 12:59:31,8,15.6,28.3.3,3.12.3
2025-08-25_12-59-39,Host Skip OS Packages (cli),1.706461829,38,2025-08-25 12:59:41,8,15.6,28.3.3,3.12.3
2025-08-25_13-00-09,Host Skip OS Packages (cli),1.549468013,38,2025-08-25 13:00:11,8,15.6,28.3.3,3.12.3
2025-08-25_13-01-52,Host Skip OS Packages (cli),1.739541152,38,2025-08-25 13:01:54,8,15.6,28.3.3,3.12.3
2025-08-25_13-06-23,Host Skip OS Packages (cli),1.539702890,38,2025-08-25 13:06:25,8,15.6,28.3.3,3.12.3
2025-08-25_13-16-38,Host Skip OS Packages (cli),1.500285179,38,2025-08-25 13:16:40,8,15.6,28.3.3,3.12.3
2025-08-25_13-16-42,Host Skip OS Packages (cli),1.490364185,38,2025-08-25 13:16:44,8,15.6,28.3.3,3.12.3
2025-08-25_13-16-47,Host Skip OS Packages (cli),1.526511468,38,2025-08-25 13:16:49,8,15.6,28.3.3,3.12.3
2025-08-25_13-16-52,Host Skip OS Packages (cli),1.468099748,38,2025-08-25 13:16:51,8,15.6,28.3.3,3.12.3
2025-08-25_13-16-54,Host Skip OS Packages (cli),1.523279887,38,2025-08-25 13:16:56,8,15.6,28.3.3,3.12.3
2025-08-25_13-44-06,Host Skip OS Packages (cli),2.370628461,38,2025-08-25 13:44:10,8,15.6,28.3.3,3.12.3
2025-08-25_13-46-56,Host Skip OS Packages (cli),1.679419944,38,2025-08-25 13:46:59,8,15.6,28.3.3,3.12.3
2025-08-25_14-50-21,Host Skip OS Packages (cli),2.691989683,38,2025-08-25 14:50:24,8,15.6,28.3.3,3.12.3
2025-08-25_14-50-21,Host Full System (cli),3.065021592,874,2025-08-25 14:50:27,8,15.6,28.3.3,3.12.3
2025-08-25_15-00-05,Host Skip OS Packages (cli),2.418715572,38,2025-08-25 15:00:08,8,15.6,28.3.3,3.12.3
2025-08-25_15-44-55,Host Skip OS Packages (cli),1.540372656,41,2025-08-25 15:44:57,8,15.6,28.3.3,3.12.3
2025-08-25_15-44-55,Host Full System (cli),2.956625655,877,2025-08-25 15:44:59,8,15.6,28.3.3,3.12.3
2025-09-24_22-35-39,Host Skip OS Packages (cli),1.881684144,46,2025-09-24 22:35:42,8,15.6,28.4.0,3.12.3
2025-09-24_22-35-39,Host Full System (cli),3.259073831,955,2025-09-24 22:35:45,8,15.6,28.4.0,3.12.3
