Session_ID,Scenario,Time(s),Packages,Timestamp,CPU_Cores,Memory_GB,Docker_Version,Python_Version
2025-08-25_12-20-46,NPM small (cli),2.050862417,3,2025-08-25 12:20:46,8,15.6,28.3.3,3.12.3
2025-08-25_12-21-28,NPM large (cli),3.088387229,20,2025-08-25 12:21:28,8,15.6,28.3.3,3.12.3
2025-08-25_12-21-50,NPM Mixed (Debian + NPM) (cli),3.224643261,0,2025-08-25 12:21:50,8,15.6,28.3.3,3.12.3
2025-08-25_12-25-44,NPM small (programmatic),2.029613091,3,2025-08-25 12:25:44,8,15.6,28.3.3,3.12.3
2025-08-25_12-26-22,NPM large (programmatic),2.333069157,20,2025-08-25 12:26:22,8,15.6,28.3.3,3.12.3
2025-08-25_12-26-44,NPM Mixed (Debian + NPM) (programmatic),2.984697260,0,2025-08-25 12:26:44,8,15.6,28.3.3,3.12.3
2025-08-25_12-42-42,NPM Mixed (Debian + NPM) (programmatic),3.050725782,413,2025-08-25 12:42:42,8,15.6,28.3.3,3.12.3
2025-08-25_12-55-04,NPM small (cli),1.956304855,3,2025-08-25 12:55:12,8,15.6,28.3.3,3.12.3
2025-08-25_13-05-08,NPM small (cli),1.955629300,3,2025-08-25 13:05:16,8,15.6,28.3.3,3.12.3
2025-08-25_13-05-44,NPM small (cli),1.955663403,3,2025-08-25 13:05:52,8,15.6,28.3.3,3.12.3
2025-08-25_15-46-08,NPM large (cli),2.518595840,20,2025-08-25 15:46:56,8,15.6,28.3.3,3.12.3
2025-08-25_15-46-08,NPM Mixed (Debian + NPM) (cli),3.354932026,413,2025-08-25 15:47:21,8,15.6,28.3.3,3.12.3
2025-08-25_15-48-54,NPM small (cli),1.990140041,3,2025-08-25 15:49:02,8,15.6,28.3.3,3.12.3
2025-08-25_15-49-33,NPM small (cli),2.102188219,3,2025-08-25 15:49:41,8,15.6,28.3.3,3.12.3
2025-08-25_22-34-52,NPM small (cli),1.978648861,3,2025-08-25 22:35:00,8,15.6,28.3.3,3.12.3
2025-08-25_22-35-26,NPM Mixed (Debian + NPM) (cli),3.025978116,413,2025-08-25 22:35:35,8,15.6,28.3.3,3.12.3
2025-08-25_22-39-18,NPM small (cli),2.031385595,3,2025-08-25 22:39:26,8,15.6,28.3.3,3.12.3
2025-08-25_22-44-05,NPM large (cli),2.192054000,20,2025-08-25 22:44:39,8,15.6,28.3.3,3.12.3
2025-08-25_22-44-56,NPM small (cli),2.116871875,3,2025-08-25 22:45:01,8,15.6,28.3.3,3.12.3
2025-08-25_22-50-14,NPM small (cli),1.981224055,3,2025-08-25 22:50:22,8,15.6,28.3.3,3.12.3
