Session_ID,Scenario,Time(s),Packages,Timestamp,CPU_Cores,Memory_GB,Docker_Version,Python_Version
2025-08-25_12-22-29,PIP small (cli),2.584003982,10,2025-08-25 12:22:29,8,15.6,28.3.3,3.12.3
2025-08-25_12-23-38,PIP large (cli),3.565564667,86,2025-08-25 12:23:38,8,15.6,28.3.3,3.12.3
2025-08-25_12-24-10,PIP Mixed (Debian + PIP) (cli),4.126471598,0,2025-08-25 12:24:10,8,15.6,28.3.3,3.12.3
2025-08-25_12-27-22,PIP small (programmatic),2.463482011,10,2025-08-25 12:27:22,8,15.6,28.3.3,3.12.3
2025-08-25_12-28-31,PIP large (programmatic),3.474348075,86,2025-08-25 12:28:31,8,15.6,28.3.3,3.12.3
2025-08-25_12-40-55,PIP Mixed (Debian + PIP) (programmatic),4.518945380,492,2025-08-25 12:40:55,8,15.6,28.3.3,3.12.3
2025-08-25_13-14-53,PIP small (cli),2.803560696,10,2025-08-25 13:15:25,8,15.6,28.3.3,3.12.3
2025-08-25_15-19-53,PIP large (cli),3.021582423,86,2025-08-25 15:20:52,8,15.6,28.3.3,3.12.3
2025-08-25_15-27-02,PIP large (cli),3.513948815,86,2025-08-25 15:28:01,8,15.6,28.3.3,3.12.3
2025-08-25_15-31-58,PIP small (cli),2.293568486,10,2025-08-25 15:32:29,8,15.6,28.3.3,3.12.3
2025-08-25_15-33-17,PIP large (cli),3.323264274,86,2025-08-25 15:34:16,8,15.6,28.3.3,3.12.3
2025-08-25_15-35-02,PIP Mixed (Debian + PIP) (cli),4.282133248,492,2025-08-25 15:35:20,8,15.6,28.3.3,3.12.3
2025-08-25_15-41-52,PIP Mixed (Debian + PIP) (cli),4.277356984,492,2025-08-25 15:42:10,8,15.6,28.3.3,3.12.3
2025-08-25_15-42-57,PIP large (cli),3.471575148,86,2025-08-25 15:43:57,8,15.6,28.3.3,3.12.3
2025-08-25_22-19-28,PIP small (cli),2.418957282,10,2025-08-25 22:19:59,8,15.6,28.3.3,3.12.3
2025-08-25_22-20-27,PIP small (cli),2.331066715,10,2025-08-25 22:20:58,8,15.6,28.3.3,3.12.3
2025-08-25_22-23-22,PIP small (cli),2.443431096,10,2025-08-25 22:23:53,8,15.6,28.3.3,3.12.3
2025-08-25_22-54-57,PIP small (cli),2.467960874,10,2025-08-25 22:55:28,8,15.6,28.3.3,3.12.3
2025-08-25_22-55-43,PIP Mixed (Debian + PIP) (cli),4.509811225,491,2025-08-25 22:56:02,8,15.6,28.3.3,3.12.3
2025-08-25_22-56-47,PIP small (cli),2.594024633,10,2025-08-25 22:57:19,8,15.6,28.3.3,3.12.3
2025-08-25_23-00-05,PIP small (cli),2.360917074,10,2025-08-25 23:00:36,8,15.6,28.3.3,3.12.3
2025-09-24_22-33-46,PIP small (cli),3.375533256,10,2025-09-24 22:34:21,8,15.6,28.4.0,3.12.3
2025-09-24_22-34-44,PIP small (cli),3.360307755,10,2025-09-24 22:35:18,8,15.6,28.4.0,3.12.3
2025-09-30_20-03-56,PIP small (cli),2.667014282,10,2025-09-30 20:04:31,8,15.6,28.4.0,3.12.3
